{'pitch': 3.21, 'roll': 21.58, 'pitch_output': 3.21, 'roll_output': -51.58, 'servo1_output': -46.37, 'servo2_output': 56.79, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 39.79, 'obstacle_time': 4.01, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.924, 'servo2': 10.655}
{'pitch': 2.23, 'roll': 20.78, 'pitch_output': 2.23, 'roll_output': -50.78, 'servo1_output': -46.550000000000004, 'servo2_output': 55.01, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 40.29, 'obstacle_time': 4.15, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.914, 'servo2': 10.556}
{'pitch': 2.23, 'roll': 20.78, 'pitch_output': 2.23, 'roll_output': -50.78, 'servo1_output': -46.550000000000004, 'servo2_output': 55.01, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 39.74, 'obstacle_time': 4.15, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.914, 'servo2': 10.556}
{'pitch': 1.62, 'roll': 20.58, 'pitch_output': 1.62, 'roll_output': -50.58, 'servo1_output': -46.96, 'servo2_output': 54.199999999999996, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 40.09, 'obstacle_time': 4.15, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.891, 'servo2': 10.511}
{'pitch': 1.62, 'roll': 20.58, 'pitch_output': 1.62, 'roll_output': -50.58, 'servo1_output': -46.96, 'servo2_output': 54.199999999999996, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 39.56, 'obstacle_time': 4.15, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.891, 'servo2': 10.511}
{'pitch': 0.93, 'roll': 19.45, 'pitch_output': 0.93, 'roll_output': -49.45, 'servo1_output': -46.52, 'servo2_output': 52.38, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 40.18, 'obstacle_time': 4.15, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.916, 'servo2': 10.41}
{'pitch': 0.93, 'roll': 19.45, 'pitch_output': 0.93, 'roll_output': -49.45, 'servo1_output': -46.52, 'servo2_output': 52.38, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 39.67, 'obstacle_time': 4.24, 'obstacle_interrupt': (True, 'up'), 'servo1': 4.916, 'servo2': 10.41}
{'pitch': -0.51, 'roll': 19.88, 'pitch_output': -30.51, 'roll_output': -49.879999999999995, 'servo1_output': -78.39, 'servo2_output': 21.369999999999994, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 39.85, 'obstacle_time': 4.24, 'obstacle_interrupt': (True, 'up'), 'servo1': 3.333, 'servo2': 8.687}
{'pitch': -0.51, 'roll': 19.88, 'pitch_output': -30.51, 'roll_output': -49.879999999999995, 'servo1_output': -78.39, 'servo2_output': 21.369999999999994, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 39.37, 'obstacle_time': 4.24, 'obstacle_interrupt': (True, 'up'), 'servo1': 3.333, 'servo2': 8.687}
{'pitch': -1.06, 'roll': 21.44, 'pitch_output': -31.06, 'roll_output': -51.44, 'servo1_output': -80.5, 'servo2_output': 22.38, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 39.52, 'obstacle_time': 4.24, 'obstacle_interrupt': (True, 'up'), 'servo1': 3.333, 'servo2': 8.743}
{'pitch': -1.06, 'roll': 21.44, 'pitch_output': -31.06, 'roll_output': -51.44, 'servo1_output': -80.5, 'servo2_output': 22.38, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 39.06, 'obstacle_time': 4.3, 'obstacle_interrupt': (True, 'left'), 'servo1': 3.333, 'servo2': 8.743}
{'pitch': -0.88, 'roll': 22.34, 'pitch_output': -0.88, 'roll_output': -52.34, 'servo1_output': -51.220000000000006, 'servo2_output': 53.46, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 39.61, 'obstacle_time': 4.3, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.654, 'servo2': 10.47}
{'pitch': -0.88, 'roll': 22.34, 'pitch_output': -0.88, 'roll_output': -52.34, 'servo1_output': -51.220000000000006, 'servo2_output': 53.46, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 39.17, 'obstacle_time': 4.3, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.654, 'servo2': 10.47}
