{'pitch': 13.23, 'roll': 0.8, 'pitch_output': -16.77, 'roll_output': -0.8, 'servo1_output': -15.57, 'servo2_output': -13.969999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 38.22, 'obstacle_time': 4.32, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.635, 'servo2': 6.724}
{'pitch': 13.22, 'roll': 0.74, 'pitch_output': -16.78, 'roll_output': -0.74, 'servo1_output': -15.52, 'servo2_output': -14.040000000000003, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 38.38, 'obstacle_time': 4.32, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.638, 'servo2': 6.72}
{'pitch': 13.22, 'roll': 0.74, 'pitch_output': -16.78, 'roll_output': -0.74, 'servo1_output': -15.52, 'servo2_output': -14.040000000000003, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 37.97, 'obstacle_time': 4.35, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.638, 'servo2': 6.72}
{'pitch': 13.22, 'roll': 0.72, 'pitch_output': -16.78, 'roll_output': -0.72, 'servo1_output': -15.5, 'servo2_output': -14.060000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 38.15, 'obstacle_time': 4.35, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.639, 'servo2': 6.719}
{'pitch': 13.22, 'roll': 0.72, 'pitch_output': -16.78, 'roll_output': -0.72, 'servo1_output': -15.5, 'servo2_output': -14.060000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 37.75, 'obstacle_time': 4.35, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.639, 'servo2': 6.719}
{'pitch': 13.22, 'roll': 0.72, 'pitch_output': -16.78, 'roll_output': -0.72, 'servo1_output': -15.5, 'servo2_output': -14.060000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 38.22, 'obstacle_time': 4.35, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.639, 'servo2': 6.719}
{'pitch': 13.22, 'roll': 0.72, 'pitch_output': -16.78, 'roll_output': -0.72, 'servo1_output': -15.5, 'servo2_output': -14.060000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 37.84, 'obstacle_time': 4.35, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.639, 'servo2': 6.719}
{'pitch': 13.22, 'roll': 0.71, 'pitch_output': -16.78, 'roll_output': -0.71, 'servo1_output': -15.490000000000002, 'servo2_output': -14.07, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 37.99, 'obstacle_time': 4.36, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.639, 'servo2': 6.718}
{'pitch': 13.22, 'roll': 0.71, 'pitch_output': -16.78, 'roll_output': -0.71, 'servo1_output': -15.490000000000002, 'servo2_output': -14.07, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 37.61, 'obstacle_time': 4.36, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.639, 'servo2': 6.718}
{'pitch': 13.21, 'roll': 0.7, 'pitch_output': -16.79, 'roll_output': -0.7, 'servo1_output': -15.489999999999998, 'servo2_output': -14.09, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 37.79, 'obstacle_time': 4.36, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.639, 'servo2': 6.717}
